Name, RA_J2000,DEC_J2000,U,B,V,R,I,G_BP,G,G_RP
[CS62] E7 m  , 261.84000 , -45.02417 , 15.122 , 13.806 , 12.490 , 11.800 , 11.200 , 12.794 , 12.093 , 11.299 
[CS62] E7 s  , 261.85042 , -45.03111 , 15.548 , 14.884 , 14.220 , 13.840 , 13.470 , 14.456 , 14.094 , 13.568 
[CS62] E7 u  , 261.81167 , -45.04556 , 16.154 , 15.582 , 15.010 , 14.670 , -99.000 , 15.211 , 14.896 , 14.410 
[CS62] E8 61 , 303.47250 , -45.16417 , 10.826 ,  9.398 ,  7.970 ,  7.050 ,  6.140 , -99.000 , -99.000 , -99.000 
[CS62] E8 40 , 301.72958 , -44.30306 , 10.900 ,  9.495 ,  8.090 ,  7.340 ,  6.670 ,  8.370 ,  7.592 ,  6.776 
[CS62] E8 18 , 301.10083 , -45.03333 , 10.196 ,  9.753 ,  9.310 ,  9.040 ,  8.770 , -99.000 , -99.000 , -99.000 
[CS62] E8 39 , 302.12167 , -44.65167 , 11.752 , 10.631 ,  9.510 ,  8.950 ,  8.440 ,  9.796 ,  9.211 ,  8.529 
[CS62] E8 47 , 301.32542 , -44.72694 , 11.636 , 11.128 , 10.620 , 10.330 , 10.050 , 10.778 , 10.504 , 10.098 
[CS62] E8 48 , 301.09458 , -44.97750 , 12.538 , 11.619 , 10.700 , 10.220 ,  9.760 , 10.950 , 10.465 ,  9.847 
[CS62] E8 a  , 301.90250 , -44.73000 , 13.296 , 12.693 , 12.090 , 11.740 , 11.410 , 12.284 , 11.974 , 11.497 
[CS62] E8 h  , 301.88625 , -44.69111 , 14.482 , 13.891 , 13.300 , 12.960 , 12.620 , 13.490 , 13.169 , 12.686 
[CS62] E8 n  , 301.83875 , -44.67000 , 15.630 , 15.040 , 14.450 , 14.110 , 13.790 , 14.639 , 14.325 , 13.856 
[CS62] E8 p  , 301.77000 , -44.70722 , 16.238 , 15.474 , 14.710 , 14.280 , 13.920 , 14.923 , 14.527 , 13.985 
[CS62] E8 u  , 301.91292 , -44.71250 , 17.100 , 16.500 , 15.900 , 15.570 , 15.220 , 16.095 , 15.773 , 15.287 
[CS62] E9 27 , 340.88292 , -44.56639 , 11.938 , 10.709 ,  9.480 ,  8.840 ,  8.250 ,  9.769 ,  9.108 ,  8.364 
[CS62] E9 38 , 342.02708 , -44.25611 , 12.292 , 10.906 ,  9.520 ,  8.790 ,  8.110 ,  9.807 ,  9.034 ,  8.207 
[CS62] E9 28 , 341.15208 , -44.61083 , 12.436 , 11.403 , 10.370 ,  9.830 ,  9.330 , 10.637 , 10.088 ,  9.428 
[CS62] E9 47 , 341.27583 , -44.64694 , 11.862 , 11.271 , 10.680 , 10.360 , 10.030 , 10.861 , 10.546 , 10.094 
[CS62] E9 g  , 341.38708 , -44.29333 , 14.478 , 13.584 , 12.690 , 12.190 , 11.770 , 12.946 , 12.463 , 11.847 
[CS62] E9 k  , 341.43542 , -44.50583 , 15.028 , 14.489 , 13.950 , 13.650 , 13.330 , 14.127 , 13.832 , 13.379 
[CS62] E9 n  , 341.37875 , -44.49528 , 15.836 , 15.273 , 14.710 , 14.370 , 14.030 , 14.886 , 14.589 , 14.124 
[CS62] E9 q  , 341.35708 , -44.46306 , 16.582 , 15.891 , 15.200 , 14.830 , 14.480 ,    nan , 19.717 ,    nan 
[CS62] E9 s  , 341.42583 , -44.41139 , 16.616 , 16.093 , 15.570 , 15.230 , 14.870 , 15.721 , 15.436 , 14.974 
